ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,CI,CD,PER,PHT,EHT,SDL,SDS,TWT,KWT300,YIELD,PRO,OIL,STA,DEN,FIB,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,prcp_Sep,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,temp_May,temp_Jun,temp_Jul,temp_Aug,temp_Sep,GDD_May,GDD_Jun,GDD_Jul,GDD_Aug,GDD_Sep
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,241,107,18.16,16.76,50.9,68.3,98.3,9.5,4.6,69.1,1.158,9.24,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,230,97,19.07,17.48,59.6,81.4,142.6,6.9,3.1,73.7,1.249,9.85,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,225,95,21.28,20.25,55.6,75.7,167,8.4,4.3,71.2,1.285,9.91,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,250,121,20.99,19.26,55.5,88.4,121.6,8.2,4.4,71.3,1.281,9.83,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,220,85,18.16,16.02,55.5,67.7,127.1,8.4,3.7,71.3,1.207,9.5,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,195,90,20.86,19.25,56,84.1,130.3,8.6,4.2,71.2,1.278,9.86,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,252,121,28.33,25.2,58.4,95.3,142.1,10.7,4.6,68,1.137,9.27,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,1,Mix,Mixed,Low,Low,High,High,Absent,251,135,25.91,22.94,57.8,77.8,186,8.5,5.1,69.3,1.162,9.24,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,1,Mix,Mixed,Low,Low,High,High,Absent,265,109,20.32,17.69,60.2,81,185.8,11.2,4.5,68,1.204,9.26,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,292,138,25.78,22.1,63.8,79.4,184.7,7.3,3.4,73.1,1.265,9.92,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,246,121,23.68,19.62,62.3,84.7,185.8,7.5,3.7,72.5,1.263,9.82,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,1,Mix,Mixed,Low,Low,High,High,Absent,258,124,24.5,22.9,65.4,93.2,143.8,9.8,4.8,69.5,1.292,9.83,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,1,Mix,Mixed,Low,Low,High,High,Absent,280,143,24.3,21.93,60.6,83.3,179.7,9.5,4.4,69.6,1.216,9.47,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,1,Mix,Mixed,Low,Low,High,High,Absent,241,90,25.6,23.56,63.6,89.6,168.9,8.9,4.5,70.7,1.277,9.88,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,232,106,21.24,18.33,57.4,91.9,93.8,11,4.5,68,1.151,9.3,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,2,Mix,Mixed,Low,Low,High,High,Absent,247,127,25.51,22.62,57.5,78.7,175.8,8.4,5,69.5,1.158,9.21,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,2,Mix,Mixed,Low,Low,High,High,Absent,245,114,23.39,21.45,59.3,78,125.2,10.9,4.7,67.9,1.194,9.2,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,285,139,27.15,23.27,64.9,71.4,219.9,7.6,3.4,72.9,1.281,9.98,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,240,110,21.19,17.85,63.1,95.9,178.2,7.6,3.9,72.2,1.274,9.86,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,2,Mix,Mixed,Low,Low,High,High,Absent,270,126,24.93,23.88,65.9,108.8,160.9,9.6,4.7,69.8,1.283,9.78,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,2,Mix,Mixed,Low,Low,High,High,Absent,267,125,24.15,23.41,59.7,82.1,137.1,9.4,4.1,70.1,1.222,9.55,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,2,Mix,Mixed,Low,Low,High,High,Absent,220,95,21.92,20.53,64.1,88.1,206.5,8.8,4.5,70.8,1.288,9.92,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
Erisman2018,ILLINOIS,Pana,17.461,Erisman,JE,ORG1,2018,1,Mix,Mixed,High,Low,Low,High,Present,230,96,23.15,20.02,58.1,85.8,82.7,8.6,5.1,69.4,1.147,9.27,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,17.2B24,Erisman,JE,ORG4,2018,1,Mix,Mixed,High,Low,Low,High,Present,218,108,23.17,20.55,59.1,86.5,100.7,9.8,4.6,69,1.176,9.34,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,461.2B24,Erisman,JE,ORG2,2018,1,Mix,Mixed,High,Low,Low,High,Present,264,131,26.84,23.59,60.3,78.9,123.1,10,4.9,68.5,1.166,9.33,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,59R5,Erisman,JE,CHECK1,2018,1,Mix,Mixed,High,Low,Low,High,Present,265,144,21.16,18.74,64.3,88.6,196.2,7.4,3.4,73.2,1.254,9.93,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,F34.A22,Erisman,JE,KEV1,2018,1,Mix,Mixed,High,Low,Low,High,Present,225,116,20.69,18.36,63.5,80.1,140.6,8.6,4.4,71,1.274,9.89,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,H69.A22,Erisman,JE,KEV2,2018,1,Mix,Mixed,High,Low,Low,High,Present,194,90,20.41,19.45,64.8,102.1,111.2,9.5,4.8,69.7,1.282,9.82,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,NG10.S7,Erisman,JE,ORG5,2018,1,Mix,Mixed,High,Low,Low,High,Present,231,112,22.28,19.53,48,76.1,102.5,9.5,4.2,69.8,1.207,9.49,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,P31.A22,Erisman,JE,KEV3,2018,1,Mix,Mixed,High,Low,Low,High,Present,223,90,20.47,22.05,65,87.2,134,8.3,4.5,71.2,1.284,10,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,17.461,Erisman,JE,ORG1,2018,2,Mix,Mixed,High,Low,Low,High,Present,225,83,22.58,21.32,58.2,86.9,126,8.9,4.9,69.4,1.162,9.28,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
Erisman2018,ILLINOIS,Pana,17.2B24,Erisman,JE,ORG4,2018,2,Mix,Mixed,High,Low,Low,High,Present,220,130,22.42,19.94,58.2,83.1,126.4,9.8,4.9,68.6,1.17,9.25,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
