,Present,236.8 a,,113.9 a,,22.7 a,,20.4 a,,11.9 a,,79 a,,8.1 a,,4 a,,68.6 b,
,,,,,,,,,,,,,,,,,,,
Management,Levels,PHT,EHT,SDL,SDS,TWT,KWT300,PRO,OIL,STA,,,,,,,,,
FS,Animal,231 ab,103.1 b,21.8 a,19.6 a,12 a,72.9 c,8.6 a,3.9 ab,71.6 a,,,,,,,,,
,Mix,235.1 a,109.2 a,21.8 a,19.6 a,11.8 a,79.6 a,8 b,4.1 a,68.8 b,,,,,,,,,
,Green,223.3 b,110.4 a,20.4 b,18.3 b,9 b,76.1 b,7.3 c,3.8 b,70.9 a,,,,,,,,,
WRT,Low,245 a,111.1 a,22.1 a,19.8 a,12.3 a,76.7 b,7.9 b,4 a,69.6 a,,,,,,,,,
,Moderate,226 b,106.8 b,21.2 b,19 b,10.6 b,77.1 b,7.9 b,4 a,69.6 a,,,,,,,,,
,High,216.4 c,105.3 b,21.3 b,19.1 b,10.6 b,83.4 a,8.3 a,3.9 a,69.8 a,,,,,,,,,
Dens,Low,234.2 a,109.5 a,21.9 a,19.7 a,11.5 a,77.2 b,8 b,4.1 a,69.6 a,,,,,,,,,
,Medium,229.8 ab,101.5 b,20.9 b,18.7 b,11.3 a,78.5 ab,8.3 a,4 a,69.5 a,,,,,,,,,
,High,223 b,110.2 a,19.9 c,17.8 c,9.7 b,81.7 a,7.6 c,3.6 b,69.9 a,,,,,,,,,
CI,High,230.6 b,105 b,21.4 a,19.2 a,11.2 b,76.2 c,8 a,4 a,70.2 a,,,,,,,,,
,Medium,239.6 a,119.2 a,22 a,19.7 a,12.1 a,79.9 b,7.6 b,4 a,67.1 b,,,,,,,,,
,Low,236.8 ab,120.2 a,22 a,19.8 a,10.9 b,87.6 a,8.2 a,4.1 a,68.4 b,,,,,,,,,
CD,High,235.8 a,109.9 a,21.9 a,19.7 a,12.1 a,79.6 a,8 a,4 a,69.2 b,,,,,,,,,
,Low,226.4 b,105.7 b,21 b,18.8 b,10 b,75 b,7.8 b,3.9 b,70.3 a,,,,,,,,,
PER,Absent,231.2 b,106.9 b,21.3 b,19.1 b,11.2 b,77.6 a,7.9 b,4 a,69.9 a,,,,,,,,,
,Present,236.8 a,113.9 a,22.7 a,20.4 a,11.9 a,79 a,8.1 a,4 a,68.6 b,,,,,,,,,
