FC,HYB,YEAR,FS,CC,Density,Rotation,CD,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,Prcp,Tmax,Tmin,Temp,TGDD,YIELD,Re
SB,KEV2,2018,Mix,Mixed,Low,Intensive,High,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,143.8,NO
SB,ORG5,2018,Mix,Mixed,Low,Intensive,High,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,179.7,NO
SB,KEV3,2018,Mix,Mixed,Low,Intensive,High,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,168.9,NO
SB,ORG1,2018,Mix,Mixed,Low,Intensive,High,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,93.8,NO
SB,ORG4,2018,Mix,Mixed,Medium,Intensive,High,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,175.8,NO
SB,ORG2,2018,Mix,Mixed,Low,Intensive,High,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,125.2,NO
SB,CHECK1,2018,Mix,Mixed,Low,Intensive,High,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,219.9,YES
SB,KEV1,2018,Mix,Mixed,Low,Intensive,High,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,178.2,YES
SB,KEV2,2018,Mix,Mixed,Low,Intensive,High,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,160.9,NO
SB,ORG5,2018,Mix,Mixed,Low,Intensive,High,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,137.1,NO
SB,KEV3,2018,Mix,Mixed,Medium,Intensive,High,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,206.5,YES
JE,ORG1,2018,Mix,Mixed,Low,Grass fallow,High,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,82.7,NO
JE,ORG4,2018,Mix,Mixed,Low,Grass fallow,High,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,100.7,NO
JE,ORG2,2018,Mix,Mixed,Low,Grass fallow,High,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,123.1,YES
JE,CHECK1,2018,Mix,Mixed,Low,Grass fallow,High,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,196.2,YES
JE,KEV1,2018,Mix,Mixed,Low,Grass fallow,High,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,140.6,YES
JE,KEV2,2018,Mix,Mixed,Low,Grass fallow,High,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,111.2,YES
JE,ORG5,2018,Mix,Mixed,Low,Grass fallow,High,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,102.5,YES
JE,KEV3,2018,Mix,Mixed,Low,Grass fallow,High,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,134,YES
JE,ORG1,2018,Mix,Mixed,Low,Grass fallow,High,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,126,NO
JE,ORG4,2018,Mix,Mixed,Low,Grass fallow,High,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,126.4,NO
JE,ORG2,2018,Mix,Mixed,Low,Grass fallow,High,15.92,6.2,3.02,80,10,12,2231,213,68,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,102.6,NO
JE,CHECK1,2018,Mix,Mixed,Low,Grass fallow,High,15.92,6.2,3.02,80,10,12,2231,213,68,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,155.8,YES
JE,KEV1,2018,Mix,Mixed,Low,Grass fallow,High,14.57,6.2,2.82,76,10,13,2041,189,80,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,106.4,NO
JE,KEV2,2018,Mix,Mixed,Low,Grass fallow,High,14.57,6.2,2.82,76,10,13,2041,189,80,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,110.1,NO
JE,ORG5,2018,Mix,Mixed,Low,Grass fallow,High,15.71,6.4,2.8,76,10,13,2285,219,70,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,98.7,NO
JE,KEV3,2018,Mix,Mixed,Low,Grass fallow,High,15.71,6.4,2.8,76,10,13,2285,219,70,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,128.3,YES
MG,ORG1,2018,Green,Mixed,Low,Extensive,Low,12.14,5.8,2.47,69,15,130,1289,220,201,22,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,100.4,NO
MG,ORG4,2018,Green,Mixed,Low,Extensive,Low,12.14,5.8,2.47,69,15,130,1289,220,201,22,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,103,NO
MG,ORG2,2018,Green,Mixed,Low,Extensive,Low,11.04,6,1.96,59,12,51,1338,207,115,18,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,98.3,NO
MG,CHECK1,2018,Green,Mixed,Low,Extensive,Low,11.04,6,1.96,59,12,51,1338,207,115,18,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,109.2,YES
MG,KEV1,2018,Green,Mixed,Low,Extensive,Low,12.78,5.4,2.47,69,13,102,1139,195,130,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,23.7,NO
MG,KEV2,2018,Green,Mixed,Low,Extensive,Low,12.78,5.4,2.47,69,13,102,1139,195,130,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,100.3,NO
MG,ORG5,2018,Green,Mixed,Low,Extensive,Low,10.86,6,1.9,58,12,52,1321,208,91,16,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,39.1,NO
MG,KEV3,2018,Green,Mixed,Low,Extensive,Low,10.86,6,1.9,58,12,52,1321,208,91,16,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,91.3,NO
MG,ORG1,2018,Green,Mixed,Medium,Extensive,Low,6.53,5.6,0.76,30,10,32,646,106,74,14,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,97.4,NO
MG,ORG4,2018,Green,Mixed,Low,Extensive,Low,6.53,5.6,0.76,30,10,32,646,106,74,14,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,108,NO
MG,ORG2,2018,Green,Mixed,Low,Extensive,Low,14.67,5.5,2.61,72,14,109,1399,220,173,13,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,85,NO
MG,CHECK1,2018,Green,Mixed,Medium,Extensive,Low,14.67,5.5,2.61,72,14,109,1399,220,173,13,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,73.1,NO
MG,KEV1,2018,Green,Mixed,Low,Extensive,Low,7.64,5.9,1.39,48,11,36,910,127,64,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,28.5,NO
MG,KEV2,2018,Green,Mixed,Low,Extensive,Low,7.64,5.9,1.39,48,11,36,910,127,64,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,98.7,NO
MG,ORG5,2018,Green,Mixed,Low,Extensive,Low,11.3,5.9,2.24,65,13,103,1295,201,160,17,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,47.8,NO
MG,KEV3,2018,Green,Mixed,Low,Extensive,Low,11.3,5.9,2.24,65,13,103,1295,201,160,17,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,110.3,YES
JG,ORG1,2018,Animal,Grass,Low,Intensive,Low,31.4,6.3,5.5,102,11,32,4193,630,86,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,103.6,NO
JG,ORG4,2018,Animal,Grass,Low,Intensive,Low,31.4,6.3,5.5,102,11,32,4193,630,86,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,117.7,NO
JG,ORG2,2018,Animal,Grass,Low,Intensive,Low,30.25,6.5,5.24,101,10,33,4206,617,100,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,76.7,NO
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,30.25,6.5,5.24,101,10,33,4206,617,100,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,YES
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,31.22,6.5,5.4,102,12,25,4297,639,140,41,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,YES
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,31.22,6.5,5.4,102,12,25,4297,639,140,41,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,YES
JG,KEV1,2018,Animal,Grass,Low,Intensive,Low,29.82,6.6,5,100,10,26,4199,639,81,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,132,YES
JG,KEV2,2018,Animal,Grass,Low,Intensive,Low,33.32,6.2,5.35,102,11,27,4329,677,88,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,132.6,YES
JG,ORG5,2018,Animal,Grass,Low,Intensive,Low,33.15,6.2,5.46,102,13,36,4301,668,117,18,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,125.4,YES
JG,KEV3,2018,Animal,Grass,Low,Intensive,Low,29.82,6.6,5,100,10,26,4199,639,81,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,113.4,NO
JG,ORG1,2018,Animal,Grass,Low,Intensive,Low,33.32,6.2,5.35,102,11,27,4329,677,88,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,113.2,YES
JG,ORG4,2018,Animal,Grass,Low,Intensive,Low,33.15,6.2,5.46,102,13,36,4301,668,117,18,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,108.5,NO
JG,ORG2,2018,Animal,Grass,Low,Intensive,Low,29.46,6.3,5.38,102,11,33,3932,588,95,14,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,109.7,YES
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,29.46,6.3,5.38,102,11,33,3932,588,95,14,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,161.5,YES
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,31.1,6.3,5.28,101,10,24,4168,616,80,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,161.5,YES
JG,CHECK1,2018,Animal,Grass,Low,Intensive,Low,31.1,6.3,5.28,101,10,24,4168,616,80,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,161.5,YES
JG,KEV1,2018,Animal,Grass,Low,Intensive,Low,31.39,6.2,5.47,102,10,28,4117,619,74,14,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,102.8,NO
JG,KEV2,2018,Animal,Grass,Low,Intensive,Low,31.39,6.2,5.47,102,10,28,4117,619,74,14,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,108.8,YES
JG,ORG5,2018,Animal,Grass,Low,Intensive,Low,31.51,6.5,5.17,101,12,23,4360,656,99,19,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,87.5,NO
JG,KEV3,2018,Animal,Grass,Low,Intensive,Low,31.51,6.5,5.17,101,12,23,4360,656,99,19,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,107.3,NO
HW,ORG1,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,90.5,NO
HW,ORG4,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,106.4,NO
HW,ORG2,2018,Mix,Legume,Low,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,42.2,NO
HW,CHECK1,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,153.6,YES
HW,KEV1,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,126.7,YES
HW,KEV2,2018,Mix,Legume,Low,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,65.4,NO
HW,ORG5,2018,Mix,Legume,Low,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,124,YES
HW,KEV3,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,100.8,NO
HW,ORG1,2018,Mix,Legume,Medium,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,87.9,NO
HW,ORG4,2018,Mix,Legume,High,Intensive,Low,29.8875,6.05,3.89125,89,19.5625,35.0625,3406.625,727.25,166,20.3125,18.8325,1.578,11.93441065,34.635,10,1.639730756,0.123939388,13.23010213,38.32,511.4862,18.40343348,38.58583691,42.99356223,422.41,82.88991742,60.82430581,71.85711161,3250.008,152.8,NO
