EXP,YEAR,FAR,STAT,FARMYR,LAT,LONG,PEDIGREE,HYBRID,PROG,CCT,RTNL,WRT,PDTY,NSRC,PDT,PHT,EHT,YIELD,CEC,pH,OM,Su,P,Ca,Mg,K,Na,NO3N,TOC,TON,Sand,Silt,Clay,prcp,srad,tmax,tmin,temp,R
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,P31.A22,KEV3,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,234.8,100.8,164.36,13.54,7,2.98,20,181,1961,256,360,19,32.9,18.948,1.584,11,39,50,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,H69.A22,KEV2,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,245.2,122.8,129.97,14.65,6.9,3.05,19,174,2145,246,360,17,26.4,18.578,1.575,13,36,51,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,461.2B24,ORG2,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,256,120.4,145.38,15.14,6.7,3.02,19,170,2136,244,362,24,36.1,18.318,1.587,10,33,57,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,17.461,ORG1,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,250,124,114.23,13.32,6.8,2.86,17,151,1894,224,344,21,29,16.738,1.511,11,36,53,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,NG10.S7,KEV4,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,271.6,129.2,147.62,13.47,6.6,2.75,17,138,1875,219,280,23,30.2,14.471,1.293,15,56,29,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,F34.A22,KEV1,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,245.2,111.8,161.95,15.57,6.4,2.7,18,117,2035,281,306,21,32.7,16.032,1.422,11,54,35,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Buxton,ILLINOIS,Buxton2018,39.62134,-88.673871,17.2B24,ORG4,CONV,Mixed,Intensive,Low,32000,Cattle,5/23/2018,247.6,131.4,175.18,16.39,6.5,2.59,17,127,2168,315,313,20,26.5,14.533,1.34,11,51,38,45.4,11656.85,85.23180645,64.61483871,74.92332258,NO
OREI-STRIPS,2018,Gray,ILLINOIS,Gray2018,40.824304,-87.763472,NG10.S7,KEV4,ORG,NA,NA,Moderate,NA,Potash,5/28/2018,186.2,93,44.85,7.64,5.9,1.39,11,36,910,127,64,15,4.9,9.037,0.786,78,3,19,44.55,12065.66,83.42541935,61.50083871,72.46312903,NO
OREI-STRIPS,2018,Gray,ILLINOIS,Gray2018,40.824304,-87.763472,F34.A22,KEV1,ORG,NA,NA,Moderate,NA,Potash,5/28/2018,174.8,83,24.71,6.53,5.6,0.76,10,32,646,106,74,14,4.1,5.555,0.478,74,7,19,44.55,12065.66,83.42541935,61.50083871,72.46312903,NO
OREI-STRIPS,2018,Wilken,ILLINOIS,Wilken2018,40.85682,-88.0813341,P31.A22,KEV3,CONV,Legume,Intensive,Moderate,32000,Chicken,5/22/2018,203.4,87.6,87.14,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,122.06,10901.52,83.2802,61.4264,72.3533,NO
OREI-STRIPS,2018,Wilken,ILLINOIS,Wilken2018,40.85682,-88.0813341,H69.A22,KEV2,CONV,Legume,Intensive,Moderate,32000,Chicken,5/22/2018,219.4,89.8,63.77,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,122.06,10901.52,83.2802,61.4264,72.3533,NO
OREI-STRIPS,2018,Wilken,ILLINOIS,Wilken2018,40.85682,-88.0813341,461.2B24,ORG2,CONV,Legume,Intensive,Moderate,32000,Chicken,5/22/2018,206.6,101.2,58.38,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,122.06,10901.52,83.2802,61.4264,72.3533,NO
OREI-STRIPS,2018,Wilken,ILLINOIS,Wilken2018,40.85682,-88.0813341,17.461,ORG1,CONV,Legume,Intensive,Moderate,32000,Chicken,5/22/2018,222,118.4,88.73,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,122.06,10901.52,83.2802,61.4264,72.3533,NO
OREI-STRIPS,2018,Wilken,ILLINOIS,Wilken2018,40.85682,-88.0813341,NG10.S7,KEV4,CONV,Legume,Intensive,Moderate,32000,Chicken,5/22/2018,211,99.6,112.55,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,122.06,10901.52,83.2802,61.4264,72.3533,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,17.2B24,ORG4,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,216.8,105.4,120.65,30.25,6.5,5.24,10,33,4206,617,100,16,22.8,27.3,1.894,2,77,21,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,P31.A22,KEV3,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,210,82.2,115.48,31.51,6.5,5.17,12,23,4360,656,99,19,8,28.4,1.944,1,61,38,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,461.2B24,ORG2,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,201.6,85.4,106.14,31.22,6.5,5.4,12,25,4297,639,140,41,11.9,28.8,2.026,2,51,47,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,H69.A22,KEV2,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,225.8,99.2,120.72,31.1,6.3,5.28,10,24,4168,616,80,17,10,28.9,1.942,2,43,55,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,F34.A22,KEV1,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,229.4,96.4,113.54,29.46,6.3,5.38,11,33,3932,588,95,14,8.9,30.1,2.03,1,46,53,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,NG10.S7,KEV4,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,222.6,98.6,105.96,31.39,6.2,5.47,10,28,4117,619,74,14,8.8,30.1,1.998,1,52,47,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Gruver,ILLINOIS,Gruver2018,40.666679,-90.75169,17.461,ORG1,CHECK,Mixed,Extensive,Low,32000,Chicken,6/7/2018,220.4,91.8,111.57,31.4,6.3,5.5,11,32,4193,630,86,16,8.7,29.3,1.955,1,47,52,106.2,10635.54,83.23380645,62.7143871,72.97409677,NO
OREI-STRIPS,2018,Ambriole,INDIANA,Ambriole2018,41.325445,-85.56548,17.461,ORG1,CONV,None,Intensive,Moderate,28000,Duck,5/27/2018,226,108.2,146.34,14.8,5.9,3.49,14,66,1729,242,217,20,8,20.054,1.957,44,24,32,135.68,11469.05,80.1743871,60.57470968,70.37454839,NO
OREI-STRIPS,2018,Ambriole,INDIANA,Ambriole2018,41.325445,-85.56548,P31.A22,KEV3,CONV,None,Intensive,Moderate,28000,Duck,5/27/2018,204.2,99.4,127.21,14.28,6.2,3.18,12,43,1793,268,212,18,6.9,20.445,1.991,44,21,35,135.68,11469.05,80.1743871,60.57470968,70.37454839,NO
OREI-STRIPS,2018,Ambriole,INDIANA,Ambriole2018,41.325445,-85.56548,NG10.S7,KEV4,CONV,None,Intensive,Moderate,28000,Duck,5/27/2018,229.4,101,128.23,14.41,6.4,3.73,12,39,1885,292,177,19,7.7,18.083,1.72,45,29,26,135.68,11469.05,80.1743871,60.57470968,70.37454839,NO
OREI-STRIPS,2018,Ambriole,INDIANA,Ambriole2018,41.325445,-85.56548,461.2B24,ORG2,CONV,None,Intensive,Moderate,28000,Duck,5/27/2018,248.8,117,108.91,11.9,6.3,3.11,13,40,1519,226,188,20,12.6,16.83,1.624,44,35,21,135.68,11469.05,80.1743871,60.57470968,70.37454839,NO
OREI-STRIPS,2018,Ambriole,INDIANA,Ambriole2018,41.325445,-85.56548,H69.A22,KEV2,CONV,None,Intensive,Moderate,28000,Duck,5/27/2018,237.2,120.6,117.38,12.15,6.6,3.18,12,46,1654,246,169,20,16.9,17.979,1.676,45,30,25,135.68,11469.05,80.1743871,60.57470968,70.37454839,NO
OREI_STRIPS_TRIAL,2019,Smith,ILLINOIS,Smith2019,40.619673,-89.707791,PHHB9*PHM49,UIUC1,CONV,Legume,Intensive,Low,35000,Turkey,11-Jun,213.2,82.2,116.1,21.275,7.1,2.455,9,32,3051,553,140.5,32,24.16854513,13.587,1.3115,5,31,64,144.27,11071.45,80.21387097,60.27219355,70.24303226,NO
OREI_STRIPS_TRIAL,2019,Smith,ILLINOIS,Smith2019,40.619673,-89.707791,PHW52*LH185,UIUC7,CONV,Legume,Intensive,Low,35000,Turkey,11-Jun,231.6,90.6,65.0,20.295,7.15,2.475,7.5,35.5,3032.5,457,127.5,30.5,20.28611925,12.4915,1.2655,6,34,60,144.27,11071.45,80.21387097,60.27219355,70.24303226,NO
OREI_STRIPS_TRIAL,2019,Smith,ILLINOIS,Smith2019,40.619673,-89.707791,PHHB9*PHW30,UIUC3,CONV,Legume,Intensive,Low,35000,Turkey,11-Jun,217.8,102.8,115.3,20.05,7.2,2.33,7,27.5,2970.5,473,112,29.5,19.82656675,11.589,1.1735,.,.,.,144.27,11071.45,80.21387097,60.27219355,70.24303226,NO
OREI_STRIPS_TRIAL,2019,Ambriole,INDIANA,Ambriole2019,41.35527778,-85.59694444,PHW52*LH185,UIUC7,CONV,Mixed,Intensive,Moderate,28000,Duck,8-Jun,226,107.8,141.6,15.845,6.35,2.965,17.5,131.5,2205.5,218,177.5,29.5,19.83058457,15.817,1.6765,.,.,.,247.03,11377.23,77.7446,57.5378,67.6412,NO
OREI_STRIPS_TRIAL,2019,Ambriole,INDIANA,Ambriole2019,41.35527778,-85.59694444,17.2B241,ORG4,CONV,Mixed,Intensive,Moderate,28000,Duck,8-Jun,244.4,116,112.2,14.53,6.2,2.745,13.5,80.5,1929.5,182,180,23,23.09314961,7.3485,0.7165,.,.,.,247.03,11377.23,77.7446,57.5378,67.6412,NO
OREI_STRIPS_TRIAL,2019,Ambriole,INDIANA,Ambriole2019,41.35527778,-85.59694444,PHHB9*PHW30,UIUC3,CONV,Mixed,Intensive,Moderate,28000,Duck,8-Jun,227.2,112.8,142.9,14.93,5.95,2.87,15.5,100.5,1913,182,166.5,24.5,21.81951573,20.091,2.0335,42,18,40,247.03,11377.23,77.7446,57.5378,67.6412,NO
OREI_STRIPS_TRIAL,2019,Ambriole,INDIANA,Ambriole2019,41.35527778,-85.59694444,PHHB9*PHR63,UIUC2,CONV,Mixed,Intensive,Moderate,28000,Duck,8-Jun,228.6,111.6,117.7,13.835,6,2.315,15,105,1726.5,170,151,25,18.43300592,10.786,1.242,.,.,.,247.03,11377.23,77.7446,57.5378,67.6412,NO
OREI_STRIPS_TRIAL,2019,Longwell,INDIANA,Longwell2019,39.9203647,-85.0189317,PHW52*LH185,UIUC7,CONV,Legume,Intensive,Low,32000,Chicken,3-Jun,239.8,103.4,109.6,12.675,6.65,2.25,14,76,1672,296,163.5,36.5,23.72712489,10.448,1.264,39,22,39,58.25,11662.95,79.97058065,59.98593548,69.97825806,NO
OREI_STRIPS_TRIAL,2019,Longwell,INDIANA,Longwell2019,39.9203647,-85.0189317,17.461,ORG1,CONV,Legume,Intensive,Low,32000,Chicken,3-Jun,217,113.8,94.5,12.795,6.5,2.235,12.5,65,1649,299.5,139.5,25.5,21.65841584,11.168,1.2465,.,.,.,58.25,11662.95,79.97058065,59.98593548,69.97825806,NO
OREI_STRIPS_TRIAL,2019,Longwell,INDIANA,Longwell2019,39.9203647,-85.0189317,PHHB9*PHM49,UIUC1,CONV,Legume,Intensive,Low,32000,Chicken,3-Jun,218.6,95.4,139.5,13.73,6.5,2.02,11,56,1787.5,318,134,23.5,22.07100592,10.985,1.2565,.,.,.,58.25,11662.95,79.97058065,59.98593548,69.97825806,NO
OREI_STRIPS_TRIAL,2019,Longwell,INDIANA,Longwell2019,39.9203647,-85.0189317,17.2B241,ORG4,CONV,Legume,Intensive,Low,32000,Chicken,3-Jun,201,108.2,144.5,13.64,6.8,2.02,11,67,1849,341.5,159.5,22.5,17.73588282,16.6965,1.645,.,.,.,58.25,11662.95,79.97058065,59.98593548,69.97825806,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,PHW52*LH185,UIUC7,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,242.6,95.2,153.9,35.02,6.85,4.57,9.5,64.5,5263.5,678,204.5,29,21.85382753,25.561,2.026,4,29,67,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,17.461,ORG1,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,215,104.8,132.9,34.865,6.75,4.445,8.5,66,5122.5,679,217,25.5,22.76532275,26.5155,2.158,.,.,.,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,PHHB9*PHR63,UIUC2,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,220,103.4,156.5,35.5,6.75,4.7,9.5,83,5188,685.5,295,26.5,24.66633466,27.492,2.204,5,23,72,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,17.2B241,ORG4,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,219.6,108.6,156.1,35.015,6.55,4.76,10.5,82.5,4920.5,655,287,28,22.55952381,26.2765,2.0865,.,.,.,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,PHHB9*PHZ51,UIUC4,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,255.8,100.6,143.2,32.575,6.75,4.65,8.5,45.5,4763.5,659,158,27.5,18.40091036,26.701,2.1215,4,31,65,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,PHHB9*PHW30,UIUC3,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,241.8,89.6,172.7,33.945,6.85,4.715,9.5,62.5,5039,676.5,265,29,23.68163174,28.8205,2.294,.,.,.,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Gruver,ILLINOIS,Gruver2019,40.666679,-90.75169,PHHB9*PHM49,UIUC1,CONV,Mixed,Extensive,Low,32000,Chicken,11-Jun,215.8,84.2,145.7,36.36,6.55,5.08,16,72,5085.5,695.5,280,33.5,21.87425363,22.656,1.9445,.,.,.,140.59,11099.38,79.214,60.01206452,69.61303226,NO
OREI_STRIPS_TRIAL,2019,Doonan,ILLINOIS,Doonan2019,41.332609,-90.661199,17.2B241,ORG4,CONV,Mixed,Extensive,High,35000,None,15-May,188.8,101.2,34.3,34.69,5.9,4.69,10,27.5,4325.5,515.5,159.5,29.5,20.58862681,24.968,1.988,.,.,.,203.82,10775.86,79.286,59.6864,69.4862,NO
OREI_STRIPS_TRIAL,2019,Doonan,ILLINOIS,Doonan2019,41.332609,-90.661199,PHW52*LH185,UIUC7,CONV,Mixed,Extensive,High,35000,None,15-May,204.6,83.2,55.2,35.54,5.9,4.955,9.5,25.5,4472.5,519,130.5,29.5,20.79714703,25.339,2.0135,5,25,70,203.82,10775.86,79.286,59.6864,69.4862,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,PHHB9*PHR63,UIUC2,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,322.6,141,186.7450684,13.845,6.85,2.07,6.5,26.5,1952,323,100,24.5,26,11.99,1.20,,,,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,PHHB9*PHZ51,UIUC4,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,303.4,129.4,176.2166813,14.105,6.65,1.805,7.5,28.5,1994,298,96.5,21.5,28,12.73,1.18,,,,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,PHHB9*PHW30,UIUC3,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,281.8,126.8,189.2768674,14.175,6.6,1.655,8,30.5,1946.5,311,102.5,22.5,31,10.94,1.18,,,,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,PHHB9*PHM49,UIUC1,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,291.6,121.6,147.7229601,14.975,6.7,1.795,6,25,2073,348,103,22.5,31,11.20,1.25,,,,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,PHW52*LH185,UIUC7,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,248,126.4,148.2636895,15.34,6.7,1.81,6.5,28,2080,378,117,22,28,10.23,1.14,7.00,54.00,39.00,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,17.2B24,ORG4,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,289,157,134.8089128,16.52,6.7,1.7,12.5,37.5,2258.5,396.5,118.5,24.5,24,9.40,1.09,,,,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Smith,ILLINOIS,Smith2020,40.655111,-89.728111,17.461,ORG1,CONV,Legume,Intensive,Low,35000,Turkey,5/31/2020,295.6,131,176.9218557,13.265,6.5,1.98,6,24.5,1742.5,309.5,96,20.5,25,9.31,1.06,8.00,40.00,52.00,36.42,12177.04,81.52554839,60.26116129,70.89335484,NO
OREI STRIP TRIALS,2020,Ambriole,INDIANA,Ambriole2020,40.919111,-85.37175,PHHB9*PHR63,UIUC2,CONV,Mixed,Intensive,Moderate,30000,Chicken,5/12/2020,183.8,85.6,64.08841289,52.51,7.65,10.18,33,16.5,9080,574,108,18,31,61.63,4.76,,,,135.91,11727.16,81.04187097,58.29393548,69.66790323,NO
OREI STRIP TRIALS,2020,Ambriole,INDIANA,Ambriole2020,40.919111,-85.37175,17.461,ORG1,CONV,Mixed,Intensive,Moderate,30000,Chicken,5/12/2020,167.4,64,61.64860158,46.775,7.7,11.69,27,32,8055,522,143,12.5,37,73.05,5.94,5.00,35.00,60.00,135.91,11727.16,81.04187097,58.29393548,69.66790323,NO
OREI STRIP TRIALS,2020,Longwell,INDIANA,Longwell2020,39.873222,-85.228861,PHW52*LH185,UIUC7,CONV,Legume,Intensive,Low,34000,Chicken,5/27/2020,244.8,110.8,103.8142758,21.02,7.55,2.29,5.5,7,2454.5,902.5,114.5,29,16,13.02,1.17,31.00,17.00,52.00,99.5,11386.78,77.951,58.1474,68.0492,NO
OREI STRIP TRIALS,2020,Longwell,INDIANA,Longwell2020,39.873222,-85.228861,17.461,ORG1,CONV,Legume,Intensive,Low,34000,Chicken,5/27/2020,242.8,110.6,101.5851426,18.925,7.55,1.97,5.5,8,2237,791.5,115.5,28,15,14.23,1.29,28.00,25.00,47.00,99.5,11386.78,77.951,58.1474,68.0492,NO
OREI STRIP TRIALS,2020,Longwell,INDIANA,Longwell2020,39.873222,-85.228861,PHHB9*PHW30,UIUC3,CONV,Legume,Intensive,Low,34000,Chicken,5/27/2020,262.8,130.8,138.0471173,13.88,7.25,2.56,6,11,1660.5,563.5,83,21.5,18,11.20,1.16,,,,99.5,11386.78,77.951,58.1474,68.0492,NO
OREI STRIP TRIALS,2020,Longwell,INDIANA,Longwell2020,39.873222,-85.228861,PHHB9*PHM49,UIUC1,CONV,Legume,Intensive,Low,34000,Chicken,5/27/2020,261.2,130.2,146.7610397,14.28,7.1,2.695,6.5,13,1792,522,93,26.5,21,13.01,1.25,,,,99.5,11386.78,77.951,58.1474,68.0492,NO
OREI STRIP TRIALS,2020,Longwell,INDIANA,Longwell2020,39.873222,-85.228861,PHHB9*PHZ51,UIUC4,CONV,Legume,Intensive,Low,34000,Chicken,5/27/2020,289,131,150.1954552,14.785,7,2.755,7.5,27,1878,512,96,23.5,21,12.53,1.17,,,,99.5,11386.78,77.951,58.1474,68.0492,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,17.2B24,ORG4,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,200.4,106.2,156.7872783,19.325,6.85,3.03,39.5,83.5,2877.5,380,135,25.5,22,.,.,,,,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,PHHB9*PHR63,UIUC2,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,205.6,104.6,171.1446366,23.86,7.25,2.85,41,70,3763.5,418,164.5,33.5,25,13.56,1.27,,,,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,PHHB9*PHM49,UIUC1,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,204.4,99.8,172.0716532,21.92,6.8,2.81,33.5,119.5,3263.5,401.5,177.5,29.5,30,6.51,0.65,,,,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,PHHB9*PHW30,UIUC3,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,239.2,119.4,178.2986332,22.25,7.05,2.685,39,69.5,3373,426.5,160.5,32,31,.,.,,,,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,PHHB9*PHZ51,UIUC4,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,247.8,121.8,158.4510664,22.38,6.9,3.015,43.5,127.5,3283,473,191,35.5,28,.,.,,,,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,PHW52*LH185,UIUC7,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,244.6,127,169.6840106,21.765,6.9,2.805,38.5,107.5,3244.5,440.5,166.5,32,22,.,.,21.00,24.00,55.00,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
OREI STRIP TRIALS,2020,Bryan,INDIANA,Bryan2020,40.745222,-84.87025,17.461,ORG1,ORG,Grass,Intensive,Low,32000,Chicken,6/9/2020,218,110.2,153.0067173,22.28,6.9,2.555,37.5,122,3343.5,438,168.5,33,24,13.62,1.32,21.00,20.00,59.00,72.24,12597.33,81.8663871,59.09232258,70.47935484,NO
