FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,Rotation,CD,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,Prcp,Tmax,Tmin,Temp,TGDD,YIELD,YD,MeanYD,SDYD,Zscore,R,Re
Ambriole,AA,ORG2,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,98.3,-44.2,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Ambriole,AA,CHECK1,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.6,0.1,25.04375,39.18344836,0.639141042,0.738634409,High
Ambriole,AA,KEV1,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,167,24.5,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Ambriole,AA,KEV2,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,121.6,-20.9,-18.125,25.48600775,-0.711174546,0.23848804,Low
Ambriole,AA,ORG5,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,127.1,-15.4,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Ambriole,AA,KEV3,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,130.3,-12.2,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Buxton,SB,ORG1,2018,1,Mix,Mixed,Low,Low,Intensive,High,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,142.1,-43.9,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Buxton,SB,ORG4,2018,1,Mix,Mixed,Low,Low,Intensive,High,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,186,0,0,0,NA,NA,NA
Buxton,SB,ORG2,2018,1,Mix,Mixed,Low,Low,Intensive,High,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,185.8,-0.2,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Buxton,SB,CHECK1,2018,1,Mix,Mixed,Low,Low,Intensive,High,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,184.7,-1.3,25.04375,39.18344836,0.639141042,0.738634409,High
Buxton,SB,KEV1,2018,1,Mix,Mixed,Low,Low,Intensive,High,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,185.8,-0.2,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Buxton,SB,KEV2,2018,1,Mix,Mixed,Low,Low,Intensive,High,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,143.8,-42.2,-18.125,25.48600775,-0.711174546,0.23848804,Low
Buxton,SB,ORG5,2018,1,Mix,Mixed,Low,Low,Intensive,High,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,179.7,-6.3,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Buxton,SB,KEV3,2018,1,Mix,Mixed,Low,Low,Intensive,High,13.92,6.6,2.62,72,18,140,1920,235,294,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,168.9,-17.1,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Buxton,SB,ORG1,2018,2,Mix,Mixed,Low,Low,Intensive,High,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,93.8,-82,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Buxton,SB,ORG4,2018,2,Mix,Mixed,Low,Medium,Intensive,High,15.57,6.4,2.7,74,18,117,2035,281,306,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,175.8,0,0,0,NA,NA,NA
Buxton,SB,ORG2,2018,2,Mix,Mixed,Low,Low,Intensive,High,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,125.2,-50.6,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Buxton,SB,CHECK1,2018,2,Mix,Mixed,Low,Low,Intensive,High,14.65,6.9,3.05,80,19,174,2145,246,360,17,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,219.9,44.1,25.04375,39.18344836,0.639141042,0.738634409,High
Buxton,SB,KEV1,2018,2,Mix,Mixed,Low,Low,Intensive,High,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,178.2,2.4,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Buxton,SB,KEV2,2018,2,Mix,Mixed,Low,Low,Intensive,High,13.47,6.6,2.75,75,17,138,1875,219,280,23,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,160.9,-14.9,-18.125,25.48600775,-0.711174546,0.23848804,Low
Buxton,SB,ORG5,2018,2,Mix,Mixed,Low,Low,Intensive,High,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,137.1,-38.7,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Buxton,SB,KEV3,2018,2,Mix,Mixed,Low,Medium,Intensive,High,13.54,7,2.98,80,20,181,1961,256,360,19,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,206.5,30.7,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Erisman,JE,ORG1,2018,1,Mix,Mixed,High,Low,Grass fallow,High,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,82.7,-18,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Erisman,JE,ORG4,2018,1,Mix,Mixed,High,Low,Grass fallow,High,15.89,6.4,2.67,73,11,16,2292,224,97,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,100.7,0,0,0,NA,NA,NA
Erisman,JE,ORG2,2018,1,Mix,Mixed,High,Low,Grass fallow,High,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,123.1,22.4,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Erisman,JE,CHECK1,2018,1,Mix,Mixed,High,Low,Grass fallow,High,14.73,6.3,2.93,79,10,11,2128,186,64,17,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,196.2,95.5,25.04375,39.18344836,0.639141042,0.738634409,High
Erisman,JE,KEV1,2018,1,Mix,Mixed,High,Low,Grass fallow,High,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,140.6,39.9,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Erisman,JE,KEV2,2018,1,Mix,Mixed,High,Low,Grass fallow,High,16.92,6.3,2.75,75,11,12,2438,214,89,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,111.2,10.5,-18.125,25.48600775,-0.711174546,0.23848804,Low
Erisman,JE,ORG5,2018,1,Mix,Mixed,High,Low,Grass fallow,High,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,102.5,1.8,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Erisman,JE,KEV3,2018,1,Mix,Mixed,High,Low,Grass fallow,High,14.92,6.4,2.73,75,11,19,2145,216,87,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,134,33.3,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Erisman,JE,ORG1,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,126,-0.4,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Erisman,JE,ORG4,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.46,6.4,2.9,78,11,13,2240,218,74,20,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,126.4,0,0,0,NA,NA,NA
Erisman,JE,ORG2,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.92,6.2,3.02,80,10,12,2231,213,68,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,102.6,-23.8,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Erisman,JE,CHECK1,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.92,6.2,3.02,80,10,12,2231,213,68,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,155.8,29.4,25.04375,39.18344836,0.639141042,0.738634409,High
Erisman,JE,KEV1,2018,2,Mix,Mixed,High,Low,Grass fallow,High,14.57,6.2,2.82,76,10,13,2041,189,80,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,106.4,-20,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Erisman,JE,KEV2,2018,2,Mix,Mixed,High,Low,Grass fallow,High,14.57,6.2,2.82,76,10,13,2041,189,80,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,110.1,-16.3,-18.125,25.48600775,-0.711174546,0.23848804,Low
Erisman,JE,ORG5,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.71,6.4,2.8,76,10,13,2285,219,70,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,98.7,-27.7,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Erisman,JE,KEV3,2018,2,Mix,Mixed,High,Low,Grass fallow,High,15.71,6.4,2.8,76,10,13,2285,219,70,18,15.275,1.435,10.641,30.2,14,2.378664008,0.18115653,13.1547,36.432,463.0176,4,66,30,625.2,84.57808516,63.5582929,74.06818903,3556.17,128.3,1.9,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Gray,MG,ORG1,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,12.14,5.8,2.47,69,15,130,1289,220,201,22,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,100.4,-2.6,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Gray,MG,ORG4,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,12.14,5.8,2.47,69,15,130,1289,220,201,22,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,103,0,0,0,NA,NA,NA
Gray,MG,ORG2,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,11.04,6,1.96,59,12,51,1338,207,115,18,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,98.3,-4.7,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Gray,MG,CHECK1,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,11.04,6,1.96,59,12,51,1338,207,115,18,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,109.2,6.2,25.04375,39.18344836,0.639141042,0.738634409,High
Gray,MG,KEV1,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,12.78,5.4,2.47,69,13,102,1139,195,130,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,23.7,-79.3,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Gray,MG,KEV2,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,12.78,5.4,2.47,69,13,102,1139,195,130,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,100.3,-2.7,-18.125,25.48600775,-0.711174546,0.23848804,Low
Gray,MG,ORG5,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,10.86,6,1.9,58,12,52,1321,208,91,16,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,39.1,-63.9,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Gray,MG,KEV3,2018,1,Green,Mixed,Moderate,Low,Extensive,Low,10.86,6,1.9,58,12,52,1321,208,91,16,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,91.3,-11.7,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Gray,MG,ORG1,2018,2,Green,Mixed,Moderate,Medium,Extensive,Low,6.53,5.6,0.76,30,10,32,646,106,74,14,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,97.4,-10.6,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Gray,MG,ORG4,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,6.53,5.6,0.76,30,10,32,646,106,74,14,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,108,0,0,0,NA,NA,NA
Gray,MG,ORG2,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,14.67,5.5,2.61,72,14,109,1399,220,173,13,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,85,-23,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Gray,MG,CHECK1,2018,2,Green,Mixed,Moderate,Medium,Extensive,Low,14.67,5.5,2.61,72,14,109,1399,220,173,13,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,73.1,-34.9,25.04375,39.18344836,0.639141042,0.738634409,High
Gray,MG,KEV1,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,7.64,5.9,1.39,48,11,36,910,127,64,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,28.5,-79.5,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Gray,MG,KEV2,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,7.64,5.9,1.39,48,11,36,910,127,64,15,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,98.7,-9.3,-18.125,25.48600775,-0.711174546,0.23848804,Low
Gray,MG,ORG5,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,11.3,5.9,2.24,65,13,103,1295,201,160,17,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,47.8,-60.2,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Gray,MG,KEV3,2018,2,Green,Mixed,Moderate,Low,Extensive,Low,11.3,5.9,2.24,65,13,103,1295,201,160,17,12.378,1.069,11.5788,11.8,50,0.927761194,0.077313433,13.2178,58.184,316.3248,75,14,11,382.51,82.8284929,60.91473935,71.87161613,3250.863,110.3,2.3,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Gruver,JG,ORG1,2018,1,Animal,Grass,Low,Low,Intensive,Low,31.4,6.3,5.5,102,11,32,4193,630,86,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,103.6,-14.1,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Gruver,JG,ORG4,2018,1,Animal,Grass,Low,Low,Intensive,Low,31.4,6.3,5.5,102,11,32,4193,630,86,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,117.7,0,0,0,NA,NA,NA
Gruver,JG,ORG2,2018,1,Animal,Grass,Low,Low,Intensive,Low,30.25,6.5,5.24,101,10,33,4206,617,100,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,76.7,-41,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,Intensive,Low,30.25,6.5,5.24,101,10,33,4206,617,100,16,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,40.7,25.04375,39.18344836,0.639141042,0.738634409,High
Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,Intensive,Low,31.22,6.5,5.4,102,12,25,4297,639,140,41,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,40.7,25.04375,39.18344836,0.639141042,0.738634409,High
Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,Intensive,Low,31.22,6.5,5.4,102,12,25,4297,639,140,41,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,158.4,40.7,25.04375,39.18344836,0.639141042,0.738634409,High
Gruver,JG,KEV1,2018,1,Animal,Grass,Low,Low,Intensive,Low,29.82,6.6,5,100,10,26,4199,639,81,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,132,14.3,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Gruver,JG,KEV2,2018,1,Animal,Grass,Low,Low,Intensive,Low,33.32,6.2,5.35,102,11,27,4329,677,88,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,132.6,14.9,-18.125,25.48600775,-0.711174546,0.23848804,Low
Gruver,JG,ORG5,2018,1,Animal,Grass,Low,Low,Intensive,Low,33.15,6.2,5.46,102,13,36,4301,668,117,18,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,125.4,7.7,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Gruver,JG,KEV3,2018,1,Animal,Grass,Low,Low,Intensive,Low,29.82,6.6,5,100,10,26,4199,639,81,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,113.4,-4.3,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Gruver,JG,ORG1,2018,2,Animal,Grass,Low,Low,Intensive,Low,33.32,6.2,5.35,102,11,27,4329,677,88,17,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,113.2,4.7,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Gruver,JG,ORG4,2018,2,Animal,Grass,Low,Low,Intensive,Low,33.15,6.2,5.46,102,13,36,4301,668,117,18,26.5,1.859,14.2299,14.9,18,1.315621891,0.089751244,14.5374,62.28,694.0368,2,63,35,573.24,82.86808129,61.41008,72.13908065,3286.251,108.5,0,0,0,NA,NA,NA
