ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,CI,CD,PER,YIELD
Erisman2018,ILLINOIS,Pana,P31.A22,Erisman,JE,KEV3,2018,1,Mix,Mixed,High,Low,Low,High,Present,134
Erisman2018,ILLINOIS,Pana,17.461,Erisman,JE,ORG1,2018,2,Mix,Mixed,High,Low,Low,High,Present,126
Erisman2018,ILLINOIS,Pana,17.2B24,Erisman,JE,ORG4,2018,2,Mix,Mixed,High,Low,Low,High,Present,126.4
Erisman2018,ILLINOIS,Pana,461.2B24,Erisman,JE,ORG2,2018,2,Mix,Mixed,High,Low,Low,High,Present,102.6
Erisman2018,ILLINOIS,Pana,59R5,Erisman,JE,CHECK1,2018,2,Mix,Mixed,High,Low,Low,High,Present,155.8
Erisman2018,ILLINOIS,Pana,F34.A22,Erisman,JE,KEV1,2018,2,Mix,Mixed,High,Low,Low,High,Present,106.4
Erisman2018,ILLINOIS,Pana,H69.A22,Erisman,JE,KEV2,2018,2,Mix,Mixed,High,Low,Low,High,Present,110.1
Erisman2018,ILLINOIS,Pana,NG10.S7,Erisman,JE,ORG5,2018,2,Mix,Mixed,High,Low,Low,High,Present,98.7
Erisman2018,ILLINOIS,Pana,P31.A22,Erisman,JE,KEV3,2018,2,Mix,Mixed,High,Low,Low,High,Present,128.3
Glazik2018,ILLINOIS,Paxton,59R5,Glazik,WG,CHECK1,2018,1,Green,Mixed,Moderate,Low,Medium,High,Absent,129.2
Glazik2018,ILLINOIS,Paxton,F34.A22,Glazik,WG,KEV1,2018,1,Green,Mixed,Moderate,Low,Medium,High,Absent,129.4
Glazik2018,ILLINOIS,Paxton,H69.A22,Glazik,WG,KEV2,2018,1,Green,Mixed,Moderate,Low,Medium,High,Absent,98.2
Glazik2018,ILLINOIS,Paxton,P31.A22,Glazik,WG,KEV3,2018,1,Green,Mixed,Moderate,Low,Medium,High,Absent,109.3
Glazik2018,ILLINOIS,Paxton,59R5,Glazik,WG,CHECK1,2018,2,Green,Mixed,Moderate,Low,Medium,High,Absent,120.1
Glazik2018,ILLINOIS,Paxton,F34.A22,Glazik,WG,KEV1,2018,2,Green,Mixed,Moderate,Low,Medium,High,Absent,75.8
Glazik2018,ILLINOIS,Paxton,H69.A22,Glazik,WG,KEV2,2018,2,Green,Mixed,Moderate,Low,Medium,High,Absent,74.9
Glazik2018,ILLINOIS,Paxton,P31.A22,Glazik,WG,KEV3,2018,2,Green,Mixed,Moderate,Low,Medium,High,Absent,96.4
Gray2018,ILLINOIS,Watseka,17.461,Gray,MG,ORG1,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,100.4
Gray2018,ILLINOIS,Watseka,17.2B24,Gray,MG,ORG4,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,103
Gray2018,ILLINOIS,Watseka,461.2B24,Gray,MG,ORG2,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,98.3
Gray2018,ILLINOIS,Watseka,59R5,Gray,MG,CHECK1,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,109.2
Gray2018,ILLINOIS,Watseka,F34.A22,Gray,MG,KEV1,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,23.7
Gray2018,ILLINOIS,Watseka,H69.A22,Gray,MG,KEV2,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,100.3
Gray2018,ILLINOIS,Watseka,NG10.S7,Gray,MG,ORG5,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,39.1
Gray2018,ILLINOIS,Watseka,P31.A22,Gray,MG,KEV3,2018,1,Green,Mixed,Moderate,Low,High,Low,Absent,91.3
Gray2018,ILLINOIS,Watseka,17.461,Gray,MG,ORG1,2018,2,Green,Mixed,Moderate,Medium,High,Low,Absent,97.4
Gray2018,ILLINOIS,Watseka,17.2B24,Gray,MG,ORG4,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,108
Gray2018,ILLINOIS,Watseka,461.2B24,Gray,MG,ORG2,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,85
Gray2018,ILLINOIS,Watseka,59R5,Gray,MG,CHECK1,2018,2,Green,Mixed,Moderate,Medium,High,Low,Absent,73.1
Gray2018,ILLINOIS,Watseka,F34.A22,Gray,MG,KEV1,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,28.5
Gray2018,ILLINOIS,Watseka,H69.A22,Gray,MG,KEV2,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,98.7
Gray2018,ILLINOIS,Watseka,NG10.S7,Gray,MG,ORG5,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,47.8
Gray2018,ILLINOIS,Watseka,P31.A22,Gray,MG,KEV3,2018,2,Green,Mixed,Moderate,Low,High,Low,Absent,110.3
Gruver2018,ILLINOIS,Macomb,17.461,Gruver,JG,ORG1,2018,1,Animal,Grass,Low,Low,High,Low,Absent,103.6
Gruver2018,ILLINOIS,Macomb,17.2B24,Gruver,JG,ORG4,2018,1,Animal,Grass,Low,Low,High,Low,Absent,117.7
Gruver2018,ILLINOIS,Macomb,461.2B24,Gruver,JG,ORG2,2018,1,Animal,Grass,Low,Low,High,Low,Absent,76.7
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,High,Low,Absent,158.4
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,High,Low,Absent,158.4
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,1,Animal,Grass,Low,Low,High,Low,Absent,158.4
Gruver2018,ILLINOIS,Macomb,F34.A22,Gruver,JG,KEV1,2018,1,Animal,Grass,Low,Low,High,Low,Absent,132
Gruver2018,ILLINOIS,Macomb,H69.A22,Gruver,JG,KEV2,2018,1,Animal,Grass,Low,Low,High,Low,Absent,132.6
Gruver2018,ILLINOIS,Macomb,NG10.S7,Gruver,JG,ORG5,2018,1,Animal,Grass,Low,Low,High,Low,Absent,125.4
Gruver2018,ILLINOIS,Macomb,P31.A22,Gruver,JG,KEV3,2018,1,Animal,Grass,Low,Low,High,Low,Absent,113.4
Gruver2018,ILLINOIS,Macomb,17.461,Gruver,JG,ORG1,2018,2,Animal,Grass,Low,Low,High,Low,Absent,113.2
Gruver2018,ILLINOIS,Macomb,17.2B24,Gruver,JG,ORG4,2018,2,Animal,Grass,Low,Low,High,Low,Absent,108.5
Gruver2018,ILLINOIS,Macomb,461.2B24,Gruver,JG,ORG2,2018,2,Animal,Grass,Low,Low,High,Low,Absent,109.7
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,2,Animal,Grass,Low,Low,High,Low,Absent,161.5
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,2,Animal,Grass,Low,Low,High,Low,Absent,161.5
Gruver2018,ILLINOIS,Macomb,59R5,Gruver,JG,CHECK1,2018,2,Animal,Grass,Low,Low,High,Low,Absent,161.5
Gruver2018,ILLINOIS,Macomb,F34.A22,Gruver,JG,KEV1,2018,2,Animal,Grass,Low,Low,High,Low,Absent,102.8
Gruver2018,ILLINOIS,Macomb,H69.A22,Gruver,JG,KEV2,2018,2,Animal,Grass,Low,Low,High,Low,Absent,108.8
Gruver2018,ILLINOIS,Macomb,NG10.S7,Gruver,JG,ORG5,2018,2,Animal,Grass,Low,Low,High,Low,Absent,87.5
Gruver2018,ILLINOIS,Macomb,P31.A22,Gruver,JG,KEV3,2018,2,Animal,Grass,Low,Low,High,Low,Absent,107.3
Wilken2018,ILLINOIS,Ashkum,17.461,Wilken,HW,ORG1,2018,1,Mix,Legume,Moderate,Medium,NA,NA,NA,90.5
Wilken2018,ILLINOIS,Ashkum,17.2B24,Wilken,HW,ORG4,2018,1,Mix,Legume,Moderate,Medium,NA,NA,NA,106.4
Wilken2018,ILLINOIS,Ashkum,461.2B24,Wilken,HW,ORG2,2018,1,Mix,Legume,Moderate,Low,NA,NA,NA,42.2
Wilken2018,ILLINOIS,Ashkum,59R5,Wilken,HW,CHECK1,2018,1,Mix,Legume,Moderate,Medium,NA,NA,NA,153.6
Wilken2018,ILLINOIS,Ashkum,F34.A22,Wilken,HW,KEV1,2018,1,Mix,Legume,Moderate,Medium,NA,NA,NA,126.7
Wilken2018,ILLINOIS,Ashkum,H69.A22,Wilken,HW,KEV2,2018,1,Mix,Legume,Moderate,Low,NA,NA,NA,65.4
Wilken2018,ILLINOIS,Ashkum,NG10.S7,Wilken,HW,ORG5,2018,1,Mix,Legume,Moderate,Low,NA,NA,NA,124
Wilken2018,ILLINOIS,Ashkum,P31.A22,Wilken,HW,KEV3,2018,1,Mix,Legume,Moderate,Medium,NA,NA,NA,100.8
Wilken2018,ILLINOIS,Ashkum,17.461,Wilken,HW,ORG1,2018,2,Mix,Legume,Moderate,Medium,NA,NA,NA,87.9
Wilken2018,ILLINOIS,Ashkum,17.2B24,Wilken,HW,ORG4,2018,2,Mix,Legume,Moderate,High,NA,NA,NA,152.8
Wilken2018,ILLINOIS,Ashkum,461.2B24,Wilken,HW,ORG2,2018,2,Mix,Legume,Moderate,Medium,NA,NA,NA,77.2
Wilken2018,ILLINOIS,Ashkum,59R5,Wilken,HW,CHECK1,2018,2,Mix,Legume,Moderate,Medium,NA,NA,NA,87.6
Wilken2018,ILLINOIS,Ashkum,F34.A22,Wilken,HW,KEV1,2018,2,Mix,Legume,Moderate,Medium,NA,NA,NA,129
Wilken2018,ILLINOIS,Ashkum,H69.A22,Wilken,HW,KEV2,2018,2,Mix,Legume,Moderate,Low,NA,NA,NA,75.9
Wilken2018,ILLINOIS,Ashkum,NG10.S7,Wilken,HW,ORG5,2018,2,Mix,Legume,Moderate,Medium,NA,NA,NA,107.7
Wilken2018,ILLINOIS,Ashkum,P31.A22,Wilken,HW,KEV3,2018,2,Mix,Legume,Moderate,Low,NA,NA,NA,99.3
Smith2019,ILLINOIS,Peoria,PHHB9*PHM49,Smith,AS,UIUC1,2019,1,Mix,Legume,Low,Low,High,High,Absent,122.8
Smith2019,ILLINOIS,Peoria,59R5,Smith,AS,CHECK1,2019,1,Mix,Legume,Low,Low,High,High,Absent,128.9
Smith2019,ILLINOIS,Peoria,PHW52*LH185,Smith,AS,UIUC7,2019,1,Mix,Legume,Low,Low,High,High,Absent,93.5
Smith2019,ILLINOIS,Peoria,PHHB9*PHW30,Smith,AS,UIUC3,2019,1,Mix,Legume,Low,Low,High,High,Absent,114.8
Smith2019,ILLINOIS,Peoria,17.461,Smith,AS,ORG1,2019,1,Mix,Legume,Low,Low,High,High,Absent,123.3
Smith2019,ILLINOIS,Peoria,PHHB9*PHR63,Smith,AS,UIUC2,2019,1,Mix,Legume,Low,Medium,High,High,Absent,184.1
Smith2019,ILLINOIS,Peoria,17.2B241,Smith,AS,ORG4,2019,1,Mix,Legume,Low,Low,High,High,Absent,156.8
Smith2019,ILLINOIS,Peoria,PHHB9*PHZ51,Smith,AS,UIUC4,2019,1,Mix,Legume,Low,Low,High,High,Absent,137.8
Ambriole2019,INDIANA,Kimmell,PHHB9*PHM49,Ambriole,AA1,UIUC1,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,152.8
Ambriole2019,INDIANA,Kimmell,PHW52*LH185,Ambriole,AA1,UIUC7,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,129.9
Ambriole2019,INDIANA,Kimmell,17.461,Ambriole,AA1,ORG1,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,157.6
Ambriole2019,INDIANA,Kimmell,PHHB9*PHZ51,Ambriole,AA1,UIUC4,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,162.2
Ambriole2019,INDIANA,Kimmell,59R5,Ambriole,AA1,CHECK1,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,146.7
Ambriole2019,INDIANA,Kimmell,17.2B241,Ambriole,AA1,ORG4,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,121.7
Ambriole2019,INDIANA,Kimmell,PHHB9*PHW30,Ambriole,AA1,UIUC3,2019,1,Mix,Mixed,Moderate,Medium,High,High,Absent,137.6
Ambriole2019,INDIANA,Kimmell,PHHB9*PHR63,Ambriole,AA1,UIUC2,2019,1,Mix,Mixed,Moderate,Low,High,High,Absent,110.4
Longwell2019,INDIANA,Richmond,PHW52*LH185,Longwell,DL,UIUC7,2019,1,Mix,Legume,Low,Low,High,Low,Present,96.3
Longwell2019,INDIANA,Richmond,17.461,Longwell,DL,ORG1,2019,1,Mix,Legume,Low,Low,High,Low,Present,103.7
Longwell2019,INDIANA,Richmond,PHHB9*PHZ51,Longwell,DL,UIUC4,2019,1,Mix,Legume,Low,Low,High,Low,Present,137.7
Longwell2019,INDIANA,Richmond,PHHB9*PHW30,Longwell,DL,UIUC3,2019,1,Mix,Legume,Low,Low,High,Low,Present,148.5
Longwell2019,INDIANA,Richmond,59R5,Longwell,DL,CHECK1,2019,1,Mix,Legume,Low,Low,High,Low,Present,141.9
Longwell2019,INDIANA,Richmond,PHHB9*PHM49,Longwell,DL,UIUC1,2019,1,Mix,Legume,Low,Low,High,Low,Present,138.7
Longwell2019,INDIANA,Richmond,PHHB9*PHR63,Longwell,DL,UIUC2,2019,1,Mix,Legume,Low,Low,High,Low,Present,162
Longwell2019,INDIANA,Richmond,17.2B241,Longwell,DL,ORG4,2019,1,Mix,Legume,Low,Low,High,Low,Present,131.4
Steiner2019,INDIANA,Berne,PHHB9*PHZ51,Steiner,GS,UIUC4,2019,1,Animal,None,Moderate,Low,High,High,Absent,164.2
Steiner2019,INDIANA,Berne,PHHB9*PHW30,Steiner,GS,UIUC3,2019,1,Animal,None,Moderate,Medium,High,High,Absent,136
Steiner2019,INDIANA,Berne,17.461,Steiner,GS,ORG1,2019,1,Animal,None,Moderate,Low,High,High,Absent,137.8
Steiner2019,INDIANA,Berne,17.2B241,Steiner,GS,ORG4,2019,1,Animal,None,Moderate,Low,High,High,Absent,149.5
Steiner2019,INDIANA,Berne,59R5,Steiner,GS,CHECK1,2019,1,Animal,None,Moderate,Low,High,High,Absent,120
Steiner2019,INDIANA,Berne,PHHB9*PHM49,Steiner,GS,UIUC1,2019,1,Animal,None,Moderate,Low,High,High,Absent,155.3
Steiner2019,INDIANA,Berne,PHW52*LH185,Steiner,GS,UIUC7,2019,1,Animal,None,Moderate,Low,High,High,Absent,138
Steiner2019,INDIANA,Berne,PHHB9*PHR63,Steiner,GS,UIUC2,2019,1,Animal,None,Moderate,Medium,High,High,Absent,169.5
Gruver2019,ILLINOIS,Macomb,PHW52*LH185,Gruver,JG1,UIUC7,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,144.9
Gruver2019,ILLINOIS,Macomb,17.461,Gruver,JG1,ORG1,2019,1,Animal,Mixed,Low,Low,High,High,Absent,143.5
Gruver2019,ILLINOIS,Macomb,PHHB9*PHR63,Gruver,JG1,UIUC2,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,154.4
Gruver2019,ILLINOIS,Macomb,17.2B241,Gruver,JG1,ORG4,2019,1,Animal,Mixed,Low,Low,High,High,Absent,142.7
Gruver2019,ILLINOIS,Macomb,PHHB9*PHZ51,Gruver,JG1,UIUC4,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,148.8
Gruver2019,ILLINOIS,Macomb,PHHB9*PHW30,Gruver,JG1,UIUC3,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,162.9
Gruver2019,ILLINOIS,Macomb,59R5,Gruver,JG1,CHECK1,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,202.3
Gruver2019,ILLINOIS,Macomb,PHHB9*PHM49,Gruver,JG1,UIUC1,2019,1,Animal,Mixed,Low,Medium,High,High,Absent,142.8
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHZ51,Doonan,TD,UIUC4,2019,1,Green,Mixed,High,High,High,Low,Absent,155.2
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHR63,Doonan,TD,UIUC2,2019,1,Green,Mixed,High,High,High,Low,Absent,115.4
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHW30,Doonan,TD,UIUC3,2019,1,Green,Mixed,High,High,High,Low,Absent,128.1
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHM49,Doonan,TD,UIUC1,2019,1,Green,Mixed,High,High,High,Low,Absent,92
Doonan2019,ILLINOIS,Reynolds,17.461,Doonan,TD,ORG1,2019,1,Green,Mixed,High,High,High,Low,Absent,104.8
Doonan2019,ILLINOIS,Reynolds,17.2B241,Doonan,TD,ORG4,2019,1,Green,Mixed,High,High,High,Low,Absent,35.2
Doonan2019,ILLINOIS,Reynolds,PHW52*LH185,Doonan,TD,UIUC7,2019,1,Green,Mixed,High,High,High,Low,Absent,56.9
Doonan2019,ILLINOIS,Reynolds,59R5,Doonan,TD,CHECK1,2019,1,Green,Mixed,High,Low,High,Low,Absent,67.9
Smith2019,ILLINOIS,Peoria,PHHB9*PHM49,Smith,AS,UIUC1,2019,2,Mix,Legume,Low,Low,High,High,Absent,109.4
Smith2019,ILLINOIS,Peoria,59R5,Smith,AS,CHECK1,2019,2,Mix,Legume,Low,Low,High,High,Absent,108.5
Smith2019,ILLINOIS,Peoria,PHW52*LH185,Smith,AS,UIUC7,2019,2,Mix,Legume,Low,Low,High,High,Absent,36.6
Smith2019,ILLINOIS,Peoria,PHHB9*PHW30,Smith,AS,UIUC3,2019,2,Mix,Legume,Low,Low,High,High,Absent,115.8
Smith2019,ILLINOIS,Peoria,17.461,Smith,AS,ORG1,2019,2,Mix,Legume,Low,Low,High,High,Absent,135.6
Smith2019,ILLINOIS,Peoria,PHHB9*PHR63,Smith,AS,UIUC2,2019,2,Mix,Legume,Low,Low,High,High,Absent,161.5
Smith2019,ILLINOIS,Peoria,17.2B241,Smith,AS,ORG4,2019,2,Mix,Legume,Low,Low,High,High,Absent,144.6
Smith2019,ILLINOIS,Peoria,PHHB9*PHZ51,Smith,AS,UIUC4,2019,2,Mix,Legume,Low,Low,High,High,Absent,106.7
Ambriole2019,INDIANA,Kimmell,PHHB9*PHM49,Ambriole,AA1,UIUC1,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,137
Ambriole2019,INDIANA,Kimmell,PHW52*LH185,Ambriole,AA1,UIUC7,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,153.4
Ambriole2019,INDIANA,Kimmell,17.461,Ambriole,AA1,ORG1,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,148.9
Ambriole2019,INDIANA,Kimmell,PHHB9*PHZ51,Ambriole,AA1,UIUC4,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,143.5
Ambriole2019,INDIANA,Kimmell,59R5,Ambriole,AA1,CHECK1,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,140.7
Ambriole2019,INDIANA,Kimmell,17.2B241,Ambriole,AA1,ORG4,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,102.8
Ambriole2019,INDIANA,Kimmell,PHHB9*PHW30,Ambriole,AA1,UIUC3,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,148.2
Ambriole2019,INDIANA,Kimmell,PHHB9*PHR63,Ambriole,AA1,UIUC2,2019,2,Mix,Mixed,Moderate,Low,High,High,Absent,124.9
Longwell2019,INDIANA,Richmond,PHW52*LH185,Longwell,DL,UIUC7,2019,2,Mix,Legume,Low,Low,High,Low,Present,123
Longwell2019,INDIANA,Richmond,17.461,Longwell,DL,ORG1,2019,2,Mix,Legume,Low,Low,High,Low,Present,85.2
Longwell2019,INDIANA,Richmond,PHHB9*PHZ51,Longwell,DL,UIUC4,2019,2,Mix,Legume,Low,Low,High,Low,Present,164.5
Longwell2019,INDIANA,Richmond,PHHB9*PHW30,Longwell,DL,UIUC3,2019,2,Mix,Legume,Low,Low,High,Low,Present,153.4
Longwell2019,INDIANA,Richmond,59R5,Longwell,DL,CHECK1,2019,2,Mix,Legume,Low,Low,High,Low,Present,151.2
Longwell2019,INDIANA,Richmond,PHHB9*PHM49,Longwell,DL,UIUC1,2019,2,Mix,Legume,Low,Low,High,Low,Present,140.3
Longwell2019,INDIANA,Richmond,PHHB9*PHR63,Longwell,DL,UIUC2,2019,2,Mix,Legume,Low,Low,High,Low,Present,140.5
Longwell2019,INDIANA,Richmond,17.2B241,Longwell,DL,ORG4,2019,2,Mix,Legume,Low,Low,High,Low,Present,157.7
Steiner2019,INDIANA,Berne,PHHB9*PHZ51,Steiner,GS,UIUC4,2019,2,Animal,None,Moderate,Low,High,High,Absent,160.6
Steiner2019,INDIANA,Berne,PHHB9*PHW30,Steiner,GS,UIUC3,2019,2,Animal,None,Moderate,Low,High,High,Absent,174.8
Steiner2019,INDIANA,Berne,17.461,Steiner,GS,ORG1,2019,2,Animal,None,Moderate,Low,High,High,Absent,135.6
Steiner2019,INDIANA,Berne,17.2B241,Steiner,GS,ORG4,2019,2,Animal,None,Moderate,Low,High,High,Absent,141.9
Steiner2019,INDIANA,Berne,59R5,Steiner,GS,CHECK1,2019,2,Animal,None,Moderate,Low,High,High,Absent,137.2
Steiner2019,INDIANA,Berne,PHHB9*PHM49,Steiner,GS,UIUC1,2019,2,Animal,None,Moderate,Medium,High,High,Absent,149.9
Steiner2019,INDIANA,Berne,PHW52*LH185,Steiner,GS,UIUC7,2019,2,Animal,None,Moderate,Low,High,High,Absent,172.1
Steiner2019,INDIANA,Berne,PHHB9*PHR63,Steiner,GS,UIUC2,2019,2,Animal,None,Moderate,Low,High,High,Absent,150.8
Gruver2019,ILLINOIS,Macomb,PHW52*LH185,Gruver,JG1,UIUC7,2019,2,Animal,Mixed,Low,Medium,High,High,Absent,162.8
Gruver2019,ILLINOIS,Macomb,17.461,Gruver,JG1,ORG1,2019,2,Animal,Mixed,Low,Low,High,High,Absent,122.1
Gruver2019,ILLINOIS,Macomb,PHHB9*PHR63,Gruver,JG1,UIUC2,2019,2,Animal,Mixed,Low,Medium,High,High,Absent,158.7
